id,marka,seri,model,yil,kilometre,vites_tipi,yakit_tipi,kasa_tipi,renk,motor_hacmi,motor_gucu,degisen_sayisi,boyali_sayisi,kimden,fiyat
43758,Peugeot,301,1.6 BlueHDI Active,2018.0,190000.0,Düz,Benzin,Sedan,Beyaz,1560.0,102.0,1.0,2.0,Galeriden,575000.0
43759,Peugeot,308,1.6 HDi Premium Plus,2010.0,235000.0,Yarı Otomatik,Dizel,Hatchback/5,Füme,1560.0,114.0,0.0,5.0,Sahibinden,625000.0
43760,Peugeot,206,1.4 Comfort,2009.0,151500.0,Düz,Benzin,Sedan,Gri,1300.0,63.0,1.0,6.0,Galeriden,328000.0
43761,Peugeot,301,1.6 HDi Active,2016.0,180000.0,Düz,Benzin,Sedan,Beyaz,1560.0,93.0,3.0,4.0,Galeriden,449000.0
43762,Peugeot,301,1.6 HDi Active,2013.0,222000.0,Düz,Dizel,Sedan,Beyaz,1560.0,93.0,2.0,1.0,Galeriden,499023.0
43763,Peugeot,207,1.4 HDi Comfort,2009.0,263000.0,Düz,Benzin,Hatchback/5,Gri,1398.0,71.0,1.0,1.0,Galeriden,439000.0
43764,Peugeot,208,1.2 PureTech Prime Selection,2022.0,7000.0,Otomatik,Benzin,Hatchback/5,Kırmızı,1200.0,88.0,1.0,0.0,Galeriden,1125000.0
43765,Peugeot,301,1.2 VTi Access,2014.0,107000.0,Düz,Benzin,Sedan,Beyaz,1200.0,88.0,0.0,0.0,Galeriden,549000.0
43766,Peugeot,206,1.4 Comfort,2007.0,150000.0,Düz,Benzin,Sedan,Beyaz,1360.0,76.0,0.0,0.0,Galeriden,315000.0
43767,Renault,Fluence,1.5 dCi Icon,2013.0,182000.0,Otomatik,Benzin,Sedan,Beyaz,1500.0,113.0,0.0,0.0,Galeriden,745000.0
43768,Peugeot,301,1.6 BlueHDI Active,2018.0,124000.0,Düz,Benzin,Sedan,Beyaz,1560.0,102.0,0.0,0.0,Galeriden,665000.0
43769,Renault,Megane,1.5 dCi Touch,2017.0,103000.0,Otomatik,Benzin,Sedan,Beyaz,1500.0,113.0,0.0,0.0,Galeriden,1150000.0
43770,Renault,Megane,1.6 Dynamique,2006.0,232000.0,Otomatik,Benzin,Sedan,Kahverengi,1598.0,115.0,0.0,0.0,Galeriden,327000.0
43772,Renault,Clio,1.0 TCe Joy,2023.0,57780.0,Otomatik,Benzin,Hatchback/5,Mavi,1200.0,88.0,0.0,2.0,Galeriden,945000.0
